nombre,temporada,posicion,edad,partidos,goles,asistencias,probabilidad,prediccion,etiqueta
Claudio Riaño,2013,Centre-Forward,24,25,2,0,0.38176967886824126,0,0
Marcos Rojo,2021,Centre-Back,31,29,5,0,0.3761672216351241,0,0
Emanuel Reynoso,2019,Attacking Midfield,23,21,2,3,0.3717922217288572,0,0
Sebastián Battaglia,2001,Defensive Midfield,20,27,3,1,0.36995363138015075,0,0
Franco Soldano,2019,Centre-Forward,24,33,3,2,0.3678603187341639,0,0
Leandro Paredes,2024,Defensive Midfield,30,18,1,4,0.36481815752606644,0,0
Aarón Anselmino,2023,Centre-Back,18,18,2,3,0.36294704766587876,0,0
Rolando Schiavi,2001,Centre-Back,28,37,5,1,0.3609124026481909,0,0
Mauro Zárate,2020,Centre-Forward,33,8,1,1,0.350132460488915,0,0
Brian Aguirre,2023,Left Winger,20,18,3,1,0.34568118970205103,0,0
Frank Fabra,2019,Left-Back,28,36,2,4,0.3435739097837464,0,0
Sebastián Villa,2018,Left Winger,22,32,3,4,0.34338348170877386,0,1
Emanuel Insúa,2013,Left-Back,22,29,1,6,0.33596710634103566,0,0
Exequiel Zeballos,2021,Right Winger,19,29,4,2,0.3292759314118457,0,0
Matías Arce,2000,Central Midfield,20,7,1,1,0.32751063728933677,0,0
Cristian Medina,2022,Central Midfield,20,49,5,4,0.32639231096282356,0,1
Carlos Tévez,2001,Centre-Forward,17,16,2,1,0.32197109433932875,0,0
Hugo Ibarra,2007,Right-Back,33,29,0,7,0.31431613366723304,0,0
Cristian Pavón,2014,Right-Back,18,9,2,0,0.311042188353543,0,0
Guillermo Barros Schelotto,2006,Centre-Forward,33,16,1,2,0.309139885376018,0,0
Clemente Rodríguez,2006,Left-Back,24,27,3,2,0.30068719040006436,0,0
Nahitan Nández,2018,Right Midfield,22,27,2,4,0.288018929953005,0,0
Sebastián Battaglia,2002,Defensive Midfield,21,37,3,2,0.2846568394893561,0,0
Nicolás Colazo,2013,Left-Back,22,19,3,1,0.2790234055673648,0,0
Walter Erviti,2012,Central Midfield,32,40,3,3,0.27871938292626486,0,0
José Pedro Fuenzalida,2014,Right Winger,29,30,0,1,0.2739743081449658,0,0
Carlos Bueno,2007,Centre-Forward,27,9,1,1,0.27122687191526496,0,0
Agustín Almendra,2020,Central Midfield,20,29,4,2,0.2679043851129365,0,0
Guillermo Burdisso,2012,Centre-Back,23,32,3,2,0.26031107735326914,0,0
Kevin Zenón,2024,Left Winger,22,33,4,0,0.25377940894241385,0,0
Luis Vázquez,2021,Centre-Forward,20,48,5,2,0.2525951405263662,0,0
Bruno Valdez,2022,Centre-Back,29,33,0,0,0.24651795347223457,0,0
Gino Peruzzi,2016,Right-Back,24,27,3,3,0.24604889081595427,0,0
Emanuel Reynoso,2018,Attacking Midfield,22,29,3,2,0.24406903420595674,0,0
Pol FernándezPol Fernández,2021,Central Midfield,29,51,4,3,0.22609954380148325,0,0
Sebastián Battaglia,2007,Defensive Midfield,26,46,4,0,0.2244198827266938,0,0
Cristian Medina,2023,Central Midfield,21,30,3,3,0.21590573776212402,0,0
Matías Silvestre,2005,Centre-Back,20,23,4,0,0.21575515459715025,0,0
Leandro Paredes,2012,Defensive Midfield,18,21,4,0,0.18947571995935367,0,0
Álvaro GonzálezÁ. González,2007,Central Midfield,22,40,1,4,0.18476418948265969,0,0
Cristian Chávez,2011,Attacking Midfield,25,43,2,4,0.18271529253643382,0,0
Clemente Rodríguez,2011,Left-Back,29,43,1,6,0.1800384119830136,0,0
Lisandro López,2018,Centre-Back,28,26,4,0,0.17888106235070603,0,0
Juan Sánchez Miño,2011,Left-Back,21,36,5,1,0.16822645185148283,0,0
Emmanuel Más,2017,Left-Back,28,12,1,2,0.16557113143100588,0,0
Cristian Chávez,2007,Attacking Midfield,21,21,1,3,0.16340801768232435,0,0
Luis Vázquez,2019,Centre-Forward,18,5,1,0,0.1624599199991566,0,0
José Calvo,2002,Right-Back,20,11,1,1,0.15907208540723228,0,0
Hugo Ibarra,2002,Right-Back,28,35,4,1,0.15791600093987415,0,0
Gonzalo Castellani,2014,Central Midfield,26,18,0,3,0.15683988546410746,0,0
Rolando Schiavi,2003,Centre-Back,30,52,5,0,0.1560787102166889,0,0
Agustín Obando,2018,Left Winger,18,6,0,2,0.1533664919124813,0,0
Christian Giménez,2000,Attacking Midfield,19,16,2,1,0.1521385327213021,0,0
Nico Gaitán,2007,Attacking Midfield,19,5,1,0,0.15181959046289978,0,0
Ariel Rosada,2009,Defensive Midfield,31,23,0,2,0.14954736574431798,0,0
Sebastián Battaglia,2010,Defensive Midfield,29,19,1,1,0.1488136550838819,0,0
Marcelo Weigandt,2022,Right-Back,22,32,2,5,0.14808596246320202,0,0
Orlando Gaona Lugo,2011,Right Winger,20,6,0,2,0.1464980989516643,0,0
Eduardo Salvio,2020,Right Winger,29,9,1,1,0.14649468276963903,0,0
Omar Pérez,2001,Attacking Midfield,20,27,0,5,0.14640105077254198,0,0
Sebastián Battaglia,2008,Defensive Midfield,27,40,3,0,0.14548500489385569,0,0
Pablo Pérez,2015,Central Midfield,29,25,3,1,0.14521790728205014,0,0
Ricardo Noir,2008,Attacking Midfield,21,20,3,0,0.13683461748083525,0,0
Fernando Gago,2013,Defensive Midfield,27,28,0,5,0.13405564578923831,0,0
Diego González,2020,Defensive Midfield,32,17,2,1,0.13026355478488522,0,0
Leandro Gracián,2008,Attacking Midfield,25,21,2,1,0.12999236691889304,0,0
Fernando Pandolfi,2000,Centre-Forward,26,16,1,1,0.12982772362636724,0,0
Lisandro López,2019,Centre-Back,29,27,3,1,0.12905627537385767,0,0
Javier Villarreal,2002,Right Midfield,23,26,3,2,0.12559159454366287,0,0
Nicolás Colazo,2010,Left-Back,19,18,3,0,0.12552431037032616,0,0
